sale_month,current_month_sales,previous_month_sales,growth_amount
2011-01,98898.48885999997,,
2011-02,91152.1569800001,98898.48885999997,-7746.331879999867
2011-03,145729.36736,91152.1569800001,54577.2103799999
2011-04,116915.76417999993,145729.36736,-28813.60318000008
2011-05,146747.83610000004,116915.76417999993,29832.07192000012
2011-06,215207.38022000005,146747.83610000004,68459.54412
2011-07,115510.41912000008,215207.38022000005,-99696.96109999997
2011-08,207581.4912199997,115510.41912000008,92071.07209999963
2011-09,290214.4553400003,207581.4912199997,82632.96412000057
2011-10,199071.26404000042,290214.4553400003,-91143.19129999986
2011-11,298496.53752000007,199071.26404000042,99425.27347999965
2011-12,333925.7345999999,298496.53752000007,35429.19707999984
2012-01,135780.72024000002,333925.7345999999,-198145.01435999988
2012-02,100510.21698,135780.72024000002,-35270.50326000003
2012-03,163076.77116000027,100510.21698,62566.55418000027
2012-04,161052.26951999983,163076.77116000027,-2024.5016400004388
2012-05,208364.8912399997,161052.26951999983,47312.62171999988
2012-06,256175.69842000015,208364.8912399997,47810.80718000044
2012-07,145236.78512000004,256175.69842000015,-110938.9133000001
2012-08,303142.94238,145236.78512000004,157906.15725999998
2012-09,289389.16564000124,303142.94238,-13753.776739998779
2012-10,252939.8502000001,289389.16564000124,-36449.31544000114
2012-11,323512.41690000053,252939.8502000001,70572.56670000043
2012-12,338256.9666000007,323512.41690000053,14744.549700000149
2013-01,199185.90737999987,338256.9666000007,-139071.0592200008
2013-02,167239.6504,199185.90737999987,-31946.25697999986
2013-03,198594.03012000036,167239.6504,31354.379720000346
2013-04,177821.31684000013,198594.03012000036,-20772.71328000023
2013-05,260498.56470000002,177821.31684000013,82677.24785999989
2013-06,396519.6119000001,260498.56470000002,136021.04720000006
2013-07,229928.95200000022,396519.6119000001,-166590.65989999985
2013-08,326488.78936000005,229928.95200000022,96559.83735999983
2013-09,376619.2456800008,326488.78936000005,50130.456320000754
2013-10,293406.6428800005,376619.2456800008,-83212.60280000028
2013-11,373989.3601000013,293406.6428800005,80582.71722000075
2013-12,405454.3780200002,373989.3601000013,31465.017919998907
2014-01,241268.55566000013,405454.3780200002,-164185.82236000005
2014-02,184837.3555600002,241268.55566000013,-56431.20009999993
2014-03,263100.7726200003,184837.3555600002,78263.4170600001
2014-04,242771.86130000014,263100.7726200003,-20328.91132000016
2014-05,288401.04614,242771.86130000014,45629.184839999856
2014-06,401814.0630999993,288401.04614,113413.01695999928
2014-07,258705.6804800002,401814.0630999993,-143108.38261999906
2014-08,456619.9423600007,258705.6804800002,197914.26188000047
2014-09,481157.24370000017,456619.9423600007,24537.30133999948
2014-10,422766.6291600003,481157.24370000017,-58390.614539999864
2014-11,555279.027,422766.6291600003,132512.3978399997
2014-12,503143.69348000037,555279.027,-52135.333519999636
